"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:0007165","signal transduction",5514,692,620.74,0.0539
"GO:0048813","dendrite morphogenesis",122,22,13.73,0.05412
"GO:0018107","peptidyl-threonine phosphorylation",32,8,3.6,0.05429
"GO:0060384","innervation",19,5,2.14,0.05445
"GO:0006895","Golgi to endosome transport",19,5,2.14,0.05445
"GO:0033490","cholesterol biosynthetic process via lathosterol",19,5,2.14,0.05445
"GO:0032402","melanosome transport",19,5,2.14,0.05445
"GO:2000641","regulation of early endosome to late endosome transport",19,5,2.14,0.05445
"GO:0035338","long-chain fatty-acyl-CoA biosynthetic process",19,5,2.14,0.05445
"GO:0007064","mitotic sister chromatid cohesion",32,6,3.6,0.0545
"GO:0038095","Fc-epsilon receptor signaling pathway",25,6,2.81,0.05472
"GO:0036503","ERAD pathway",109,18,12.27,0.05637
"GO:0007584","response to nutrient",144,20,16.21,0.06044
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity",32,7,3.6,0.06144
"GO:0000281","mitotic cytokinesis",103,15,11.6,0.06218
"GO:0008015","blood circulation",460,63,51.78,0.06278
"GO:1903531","negative regulation of secretion by cell",127,25,14.3,0.06285
"GO:0032535","regulation of cellular component size",295,42,33.21,0.06304
"GO:0090280","positive regulation of calcium ion import",24,7,2.7,0.06351
"GO:0048593","camera-type eye morphogenesis",76,12,8.56,0.0636
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction",25,6,2.81,0.06363
"GO:0030837","negative regulation of actin filament polymerization",56,9,6.3,0.06368
"GO:2001171","positive regulation of ATP biosynthetic process",14,4,1.58,0.06371
"GO:0090043","regulation of tubulin deacetylation",14,4,1.58,0.06371
"GO:0030859","polarized epithelial cell differentiation",14,4,1.58,0.06371
"GO:0072350","tricarboxylic acid metabolic process",14,4,1.58,0.06371
"GO:1902093","positive regulation of flagellated sperm motility",14,4,1.58,0.06371
"GO:0048791","calcium ion-regulated exocytosis of neurotransmitter",14,4,1.58,0.06371
"GO:0065004","protein-DNA complex assembly",168,16,18.91,0.06426
"GO:0110053","regulation of actin filament organization",242,41,27.24,0.0643
"GO:0050805","negative regulation of synaptic transmission",53,11,5.97,0.06436
"GO:0070588","calcium ion transmembrane transport",306,46,34.45,0.06448
"GO:1903432","regulation of TORC1 signaling",98,19,11.03,0.06468
"GO:0098930","axonal transport",65,15,7.32,0.0647
"GO:0015807","L-amino acid transport",83,16,9.34,0.06476
"GO:0070482","response to oxygen levels",300,40,33.77,0.06478
"GO:0048668","collateral sprouting",16,5,1.8,0.06498
"GO:0019098","reproductive behavior",25,6,2.81,0.06498
"GO:0032274","gonadotropin secretion",17,5,1.91,0.06499
"GO:0060119","inner ear receptor cell development",20,5,2.25,0.06501
"GO:0051053","negative regulation of DNA metabolic process",131,17,14.75,0.06504
"GO:0045931","positive regulation of mitotic cell cycle",106,12,11.93,0.06504
"GO:0140131","positive regulation of lymphocyte chemotaxis",16,4,1.8,0.06504
"GO:0006577","amino-acid betaine metabolic process",18,4,2.03,0.06506
"GO:0001754","eye photoreceptor cell differentiation",31,5,3.49,0.06509
"GO:0061138","morphogenesis of a branching epithelium",77,10,8.67,0.0651
"GO:0002029","desensitization of G protein-coupled receptor signaling pathway",19,3,2.14,0.06513
"GO:0141060","disruption of anatomical structure in another organism",89,9,10.02,0.06525
"GO:0032368","regulation of lipid transport",128,10,14.41,0.06547
"GO:0051966","regulation of synaptic transmission, glutamatergic",68,11,7.66,0.06561
"GO:0048489","synaptic vesicle transport",46,11,5.18,0.06575
"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway",88,15,9.91,0.06606
"GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",20,5,2.25,0.06613
"GO:0033489","cholesterol biosynthetic process via desmosterol",20,5,2.25,0.06613
"GO:0015914","phospholipid transport",109,19,12.27,0.06741
"GO:1905515","non-motile cilium assembly",46,9,5.18,0.06794
"GO:0030198","extracellular matrix organization",262,28,29.49,0.06887
"GO:0009888","tissue development",1450,171,163.23,0.07057
"GO:0099172","presynapse organization",55,12,6.19,0.0708
"GO:0031340","positive regulation of vesicle fusion",24,8,2.7,0.07085
"GO:0035050","embryonic heart tube development",55,10,6.19,0.07099
"GO:1902307","positive regulation of sodium ion transmembrane transport",19,5,2.14,0.07108
"GO:0035357","peroxisome proliferator activated receptor signaling pathway",28,5,3.15,0.07117
"GO:0042403","thyroid hormone metabolic process",27,4,3.04,0.07125
"GO:0035767","endothelial cell chemotaxis",30,4,3.38,0.07128
"GO:0048660","regulation of smooth muscle cell proliferation",131,14,14.75,0.07141
"GO:1901987","regulation of cell cycle phase transition",429,37,48.29,0.07243
"GO:0043086","negative regulation of catalytic activity",140,19,15.76,0.07548
"GO:0070935","3'-UTR-mediated mRNA stabilization",27,6,3.04,0.07552
"GO:0051497","negative regulation of stress fiber assembly",27,6,3.04,0.07552
"GO:0034067","protein localization to Golgi apparatus",27,6,3.04,0.07552
"GO:0046677","response to antibiotic",27,6,3.04,0.07552
"GO:0002862","negative regulation of inflammatory response to antigenic stimulus",27,6,3.04,0.07552
"GO:0050768","negative regulation of neurogenesis",92,13,10.36,0.07557
"GO:0007032","endosome organization",100,17,11.26,0.07626
"GO:0051965","positive regulation of synapse assembly",54,10,6.08,0.07665
"GO:0043200","response to amino acid",94,16,10.58,0.07867
"GO:0006900","vesicle budding from membrane",88,15,9.91,0.07872
"GO:2001234","negative regulation of apoptotic signaling pathway",181,28,20.38,0.07874
"GO:0003094","glomerular filtration",21,5,2.36,0.07907
"GO:0061909","autophagosome-lysosome fusion",21,5,2.36,0.07907
"GO:0035902","response to immobilization stress",21,5,2.36,0.07907
"GO:0046579","positive regulation of Ras protein signal transduction",21,5,2.36,0.07907
"GO:0090141","positive regulation of mitochondrial fission",21,5,2.36,0.07907
"GO:0006939","smooth muscle contraction",79,13,8.89,0.07919
"GO:0019226","transmission of nerve impulse",56,9,6.3,0.07936
"GO:0099509","regulation of presynaptic cytosolic calcium ion concentration",15,4,1.69,0.07941
"GO:0060143","positive regulation of syncytium formation by plasma membrane fusion",15,4,1.69,0.07941
"GO:0051152","positive regulation of smooth muscle cell differentiation",15,4,1.69,0.07941
"GO:0034058","endosomal vesicle fusion",15,4,1.69,0.07941
"GO:0071732","cellular response to nitric oxide",15,4,1.69,0.07941
"GO:2000010","positive regulation of protein localization to cell surface",15,4,1.69,0.07941
"GO:0098693","regulation of synaptic vesicle cycle",15,4,1.69,0.07941
"GO:2000104","negative regulation of DNA-templated DNA replication",15,4,1.69,0.07941
"GO:1904181","positive regulation of membrane depolarization",15,4,1.69,0.07941
"GO:0061795","Golgi lumen acidification",15,4,1.69,0.07941
"GO:0009154","purine ribonucleotide catabolic process",119,24,13.4,0.07947
"GO:0006914","autophagy",575,89,64.73,0.08006
"GO:0030010","establishment of cell polarity",122,20,13.73,0.08025
"GO:0072583","clathrin-dependent endocytosis",50,10,5.63,0.0806
"GO:0006094","gluconeogenesis",77,10,8.67,0.08115
"GO:0007254","JNK cascade",169,19,19.03,0.0814
"GO:0097009","energy homeostasis",58,10,6.53,0.08355
"GO:0070830","bicellular tight junction assembly",50,12,5.63,0.08676
"GO:0050729","positive regulation of inflammatory response",153,22,17.22,0.08709
"GO:0060173","limb development",91,14,10.24,0.08722
"GO:0099505","regulation of presynaptic membrane potential",28,6,3.15,0.08738
"GO:0019882","antigen processing and presentation",99,12,11.14,0.08774
"GO:1902600","proton transmembrane transport",186,30,20.94,0.09225
"GO:0007631","feeding behavior",80,17,9.01,0.09237
"GO:0022406","membrane docking",87,18,9.79,0.09266
"GO:0045022","early endosome to late endosome transport",41,10,4.62,0.0928
"GO:0062013","positive regulation of small molecule metabolic process",146,22,16.44,0.09297
"GO:2000027","regulation of animal organ morphogenesis",43,10,4.84,0.09302
"GO:0051480","regulation of cytosolic calcium ion concentration",57,12,6.42,0.09304
"GO:0045921","positive regulation of exocytosis",81,13,9.12,0.09305
"GO:0017158","regulation of calcium ion-dependent exocytosis",37,8,4.17,0.09306
"GO:0033619","membrane protein proteolysis",58,11,6.53,0.0931
"GO:0006839","mitochondrial transport",34,8,3.83,0.09314
"GO:0099558","maintenance of synapse structure",34,7,3.83,0.09316
"GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors",35,7,3.94,0.09327
"GO:1903861","positive regulation of dendrite extension",22,5,2.48,0.09327
"GO:0045217","cell-cell junction maintenance",22,5,2.48,0.09327
"GO:0048246","macrophage chemotaxis",37,7,4.17,0.0933
"GO:0035455","response to interferon-alpha",20,5,2.25,0.09331
"GO:0051043","regulation of membrane protein ectodomain proteolysis",25,5,2.81,0.09337
