Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000252061	RNU6-415P	-0.17763787215025123	-4.447593257928554	5.740515138691448e-05	0.013136877288543318	Down
ENSG00000084754	HADHA	0.17383491845735843	4.319482548379548	5.7604754786826125e-05	0.013136877288543318	Up
ENSG00000248408	LINC02469	0.07348870411369557	4.337989915632897	5.870539452115153e-05	0.013136877288543318	Not significant
ENSG00000079482	OPHN1	0.3502856774948473	4.2995548478435754	5.915275902992434e-05	0.013136877288543318	Up
ENSG00000189108	IL1RAPL2	-0.21400808872394428	-4.316691434796175	5.958203709309468e-05	0.013136877288543318	Down
ENSG00000136261	BZW2	-0.10873258724930612	-4.293560391261124	6.121209259536034e-05	0.013136877288543318	Down
ENSG00000093072	ADA2	0.12932518244191216	4.289506883045359	6.165203428290007e-05	0.013136877288543318	Up
ENSG00000172403	SYNPO2	-0.2812764881018661	-4.286584948295623	6.20817349031726e-05	0.013136877288543318	Down
ENSG00000166006	KCNC2	-0.33600324293212624	-4.294765359245129	6.249271315919145e-05	0.013136877288543318	Down
ENSG00000123933	MXD4	0.29531448739961164	4.28894792511103	6.312529019424315e-05	0.013136877288543318	Up
ENSG00000065609	SNAP91	-0.43760373595804136	-4.304365021391844	6.352748835391193e-05	0.013136877288543318	Down
ENSG00000272370		-0.12519662952658617	-4.291097646171935	6.377531761328324e-05	0.013136877288543318	Down
ENSG00000095596	CYP26A1	-0.1972459778470359	-4.275890732571514	6.378428744016272e-05	0.013136877288543318	Down
ENSG00000056972	TRAF3IP2	0.15704565416236504	4.317490737725648	6.394603802684192e-05	0.013136877288543318	Up
ENSG00000203727	SAMD5	-0.0973861097442934	-4.354650686858953	6.407575228123364e-05	0.013136877288543318	Not significant
ENSG00000257057	C11orf97	-0.15414081887221076	-4.273850599830106	6.417543190003095e-05	0.013136877288543318	Down
ENSG00000156097	GPR61	-0.19879893327642395	-4.282130464897017	6.454096836126954e-05	0.013136877288543318	Down
ENSG00000145349	CAMK2D	-0.4131076525605404	-4.27127823286917	6.474608345792855e-05	0.013136877288543318	Down
ENSG00000282375	LOC401442	-0.1391888209684664	-4.278321436842309	6.496603971079254e-05	0.013136877288543318	Down
ENSG00000120549	KIAA1217	-0.27957597008429147	-4.361556352049005	6.502609118825834e-05	0.013136877288543318	Down
ENSG00000031698	SARS1	-0.17987362074055557	-4.282200591470954	6.530835607593433e-05	0.013136877288543318	Down
ENSG00000157423	HYDIN	0.2881747445571645	4.267927611544511	6.575444020368436e-05	0.013136877288543318	Up
ENSG00000108946	PRKAR1A	-0.30844173953390897	-4.282276437014545	6.579299503386258e-05	0.013136877288543318	Down
ENSG00000282840	MSL3-DT	-0.12069679714039261	-4.375382251100722	6.58202108466097e-05	0.013136877288543318	Down
ENSG00000130764	LRRC47	-0.2464754657103514	-4.276107376678694	6.615508740460397e-05	0.013136877288543318	Down
ENSG00000114446	IFT57	-0.15212196163371106	-4.278816808619763	6.633855038046358e-05	0.013136877288543318	Down
ENSG00000136854	STXBP1	-0.26781082778561505	-4.263241492502651	6.65879092096914e-05	0.013136877288543318	Down
ENSG00000130540	SULT4A1	-0.36774243592551237	-4.293339878873531	6.731743265724437e-05	0.013136877288543318	Down
ENSG00000277531	PNMA8C	-0.25007406128914633	-4.2609996142134925	6.752854342931955e-05	0.013136877288543318	Down
ENSG00000285509	TBCEL-TECTA	-0.18339696902201408	-4.290030310731735	6.776910639880798e-05	0.013136877288543318	Down
ENSG00000143155	TIPRL	-0.08038366570867517	-4.258978305780026	6.784129730445649e-05	0.013136877288543318	Not significant
ENSG00000177889	UBE2N	-0.2314342135079941	-4.265837468424711	6.804768735915998e-05	0.013136877288543318	Down
